ID,Question,Answer,Answer Mode,Source URL
2279,What are my lease-end options?,"Turn in your vehicle and purchase or lease a new Toyota.1
Purchase the vehicle you're currently driving.
Return your vehicle to a Toyota or Lexus dealership.*",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2280,How do I prepare for Lease-End?," Check out our [Lease-End Guide](/content/dam/nextgen-shared/lease-end/TFS-lease-end-guide.pdf) that provides details on considering your options, timing for an inspection, excessive wear and use, and finalizing your decision. ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2281,What do I need to do to return my vehicle?," Our [Lease-End Guide](/content/dam/nextgen-shared/lease-end/TFS-lease-end-guide.pdf) provides an overview of the lease-end process, and checklists to help guide you through the before, during, and after your return. The vehicle must be returned to an authorized Toyota or Lexus Dealer. We recommend contacting your originating Dealer to schedule your turn-in appointment. Your originating Dealer is required to process the vehicle return. If you return the vehicle to a third-party dealership, this is an unauthorized third-party vehicle return and you remain responsible for all obligations under the lease agreement until we receive the payoff funds and all required documentation, or the vehicle is delivered to a Toyota or Lexus Dealer. Most Toyota and Lexus Dealers will process a vehicle return even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment. Download checklist ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2282,Where do I turn in my leased vehicle?," The vehicle must be returned to an authorized Toyota or Lexus Dealer. If youve moved since you began your lease, use our easy dealer locator to find a participating dealer near you. We recommend contacting the dealer to schedule your lease turn-in appointment approximately 30 days prior to your lease maturity date.  Your originating Dealer is required to process the vehicle return. Most Toyota and Lexus Dealers, while not required, will process a return, even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2283,Who is my originating dealer?, Your originating dealer is the dealer where you began your lease. This dealer can help you choose your next Toyota and turn in your current leased vehicle. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2284,What if I turn in my vehicle early?," You may return your vehicle prior to your lease maturity date; however, early termination fees may apply. For more info about turning in your lease early, refer to your lease agreement, or contact TFS at 1-800-286-0652 . You may also reach out to your dealer to get answers to any questions you have about your options. ",PHONE_ESCALATION,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2285,Can I return my leased vehicle to any dealer?," The vehicle must be returned to an authorized Toyota or Lexus Dealer. We recommend contacting your originating Dealer to schedule your turn-in appointment. Your originating Dealer is required to process the vehicle return. If you return the vehicle to a third-party dealership, this is an unauthorized third-party vehicle return and you remain responsible for all obligations under the lease agreement until we receive the payoff funds and all required documentation, or the vehicle is delivered to a Toyota or Lexus Dealer. Most Toyota and Lexus Dealers will process a vehicle return even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2286,Should I schedule an appointment to return my vehicle to my Toyota dealer?," Yes, just give your dealer a call 30 days prior to your lease maturity date to schedule your lease turn-in appointment. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2287,What should I bring to my turn-in appointment?,"Your TFS [Odometer Disclosure Statement](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TF_odometer_statement_6197.pdf)
Tool kit and spare tire, if applicable
All sets of keys (masters/remotes/valet), if applicable
Owner's Manuals
Any original equipment on your vehicle at lease inception (radio, headrests, 3rd row seat, tonneau/cargo cover, etc.)",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2288,Should I notify Toyota Financial Services after I have returned my leased vehicle?," Yes, to minimize any potential delays processing your lease return, you can notify us of your return by logging on to Toyotafinancial.com or your Toyota Financial Services App and follow the Lease End return prompts. You can also notify us by telephone at (800) 874-8822 using our automated system or speaking with a live agent. Log in to my account ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2289,What happens after I return my vehicle?,"Confirm the Dealership will accept the return. Only your originating Dealer is required to accept your lease return. To minimize any potential delays processing your lease return, you can notify us of your return by logging onto Toyotafinancial.com or your Toyota Financial Services App and follow the Lease End return prompts. You can also notify us by telephone at (800) 874-8822 using our automated system or speaking with a live agent.
The dealership will complete a final inspection at your return appointment, and ask you to sign the [Odometer Disclsoure Statement](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TF_odometer_statement_6197.pdf), and provide you with a copy of it for your records. Capture the name of dealer associate that helped with the return.
TFS will send you a Lease-End invoice if you have any unpaid payments, late fees and miscellaneous charges. The invoice will also include Excessive Wear and Use charges, Excessive Mileage charges, and Disposition Fee if applicable. These items may be taxable.
If you had a security deposit, it will be returned to your home address via check. It will be used to first pay any Lease-End invoice charges, if applicable.
[Cancel any electronic payments](https://www.toyotafinancial.com/dss/login?deeplink=paymentspayments).",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2290,How will TFS contact me before my lease ends?," Leading up to lease-end, youll receive various communications from TFS about your options and things you need to do. Be on the lookout for information from us through toyotafinancial.com, email and/or phone calls. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2291,What is my lease maturity date?, This is the date when your lease agreement ends and your vehicle should be returned to a Toyota dealer (unless you choose the option to purchase your leased vehicle). ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2292,What charges should I expect on my End of Term Invoice after I turn in my vehicle?,"Excess wear and use
Excess mileage
Disposition fee
Any past due and unpaid monthly payments
Any other miscellaneous charges (e.g., unpaid late payment fees, taxes, tolls)
Any other charges due under the terms of your lease agreement if your lease was terminated early",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2293,Do I return my license plates when I turn in my vehicle?, Great question - it varies by state. Please contact your Toyota dealer or the DMV if you have questions about how this applies to you. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2294,Do I need to cancel any electronic payments at the end of my lease?," Yes, and this is one people forget. If youve returned your vehicle, please remember to cancel any automated payments you may have set up through either toyotafinancial.com or your bank. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2295,How do I purchase my current vehicle?," First, great decision. Next, get a payoff quote by logging into your [TFS online account](https://www.toyotafinancial.com/dss/login?deeplinkpurchase_vehicle) or contacting TFS at [1-800-286-0652](tel:1-800-286-0652) . If you need financing, you can head straight to your dealer for help. ",PHONE_ESCALATION,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2296,Whats the easiest way to get into a new Toyota?, Just bring your vehicle back to your Toyota dealer at the end of your lease and they can help you with the rest. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2297,Whats considered excessive wear and use?," It probably seems obvious, but damage that is beyond normal wear and use is considered excessive If it helps to see some examples of whats considered excessive, check out our [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf). We also recommend reviewing your lease agreement as it includes additional excess wear and use information specific to your vehicle. Just a heads up, though, the examples provided may not include all instances of excessive damage that could subject you to additional charges based on the terms of your lease agreement. ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2298,Can I make repairs to my lease vehicle so I dont incur wear and use charges?," Of course. In fact, we encourage you to schedule a complimentary inspection 3 and to review the [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf) to see whether your vehicle has wear and use that is considered excessive. If repair work is needed and youd like to make repairs prior to turning in the vehicle, your local Toyota dealer is a great option to assist you. Be sure to keep all of your receipts for repairs made and review your insurance policy to see if any items may be covered. If your damages exceeding normal wear and use arent repaired, it can result in charges at lease termination. 4 All charges may be subject to sales tax. 3 Available to Toyota Financial Services lease customers that do not reside in Alaska or Hawaii and whose leases did not originate in New Hampshire or Wisconsin. 4 If repairs are made to your vehicle, you or the dealer may request an inspection upon turn-in. Under certain circumstances, Toyota Financial Services does not charge its lease customers for excess wear and use damage. See your lease agreement for additional information. ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2299,What is a courtesy pre-inspection?, A courtesy pre-inspection by your Toyota dealer assesses the condition of your vehicle and provides an estimate of wear and use charges that could be due at lease-end. 3 3 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2300,How do I schedule a courtesy pre-inspection appointment?, You can contact your originating dealer or any Toyota dealer to determine if they can conduct a courtesy pre-inspection and schedule an appointment. 3 3 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2301,What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original equipment",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2302,What should I do after my courtesy pre-inspection?," After your courtesy pre-inspection, you can discuss the inspection report immediately with the dealer in person. You can also access the report via the Document Center on our mobile app or toyotafinancial.com. You can make repairs before turning in your vehicle-just be sure to keep receipts for your records ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2303,Where can I find my mileage allowance?, The easiest way to find your mileage allowance is by looking at your lease agreement. If you cant find your lease agreement - no worries - your friends at your local dealer will be happy to help you find it. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2304,What if I go over my mileage allowance?," No problem, it happens. You just need to call your dealer and they can give you more info on any potential charges. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2305,Can I get additional miles?," We love the question and wish there was a way to purchase additional miles. Unfortunately, were not currently offering that as an option. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/faqs.html
2306,How can I see the mileage allowance in my lease agreement and track progress?,"Log in to your account
Select “Menu” from the top navigation bar
Select “Mileage Calculator” under Manage Account",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/mileage/How_can_I_see_the_mileage_allowance_in_my_lease_agreement_and_track_progress.html
2307,How do I obtain a username and password to access my TFS account?," You must be a registered TFS account holder to obtain a username and password. To register your account, please [click here to register](https://m.my.toyotafinancial.com/pub/w/registration) or download the MyTFS app from the App Store or Google Play. ",PORTAL_REDIRECT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/how_do_i_obtain_a_username_and_password_to_access_my_TFS_account.html
2308,Why isnt my password working?,"Passwords are case-sensitive
Make sure the CAPS LOCK key on your computer or device is off, then re-enter your password
Passwords may return invalid if there are blank spaces
Make sure there are no additional spaces in your entry, then retry your password",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/why_isnt_my_password_working.html
2309,I forgot my password. How can I retrieve it?, Click [here](https://m.my.toyotafinancial.com/pub/w/forgot_password) if you have forgotten your password. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/i_forgot_my_password_how_can_i_retrive_it.html
2310,Why isnt my username working?,"Usernames are case-sensitive
For security reasons, we no longer accept email addresses as usernames
If you used your email as your username, make sure the CAPS LOCK key on your computer or device is off, and then re-enter your username
Log in [here](/us/en/external_login.html) on your desktop or laptop using your current username. This will prompt you to update your username to comply with our new requirements",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/why_isnt_my_username_working.html
2311,I forgot my username. How can I retrieve it?, Click [here](https://www.toyotafinancial.com/dss/self-service/credential-recovery) if you have forgotten your username. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/i_forgot_my_username_how_can_i_retrive_it.html
2312,I forgot the secret answer to my security question. How do I reset it?," Click the Forgot Answer link below the Answer field, and this will you allow you to reset you answer. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/i_forgot_the_secret_answer_to_my_security_question_how_do_i_reset_it.html
2313,What do I do if Im locked out of my account?,"Click [here](https://m.my.toyotafinancial.com/pub/w/forgot_password?action=unlock) to unlock your account.
You will be asked for the following information to unlock your account:
Account Number
Last 4 digits of your SSN / TAX ID
Account Number
Last 4 digits of your SSN / TAX ID",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/login-faqs/what_do_i_do_if_im_locked_out_of_my_account.html
2314,What is credit?,"Say you want to purchase or lease a car, but dont have enough money to pay for it all at once. Enter credit. Credit allows customers to take possession of something, in our case a vehicle, before it is fully paid. A financial institution extends credit for the item, on the expectation that payment will be completed in the future. With credit through Toyota Financial Services, you can either finance (make monthly payments on an amount borrowed to pay for the purchase) or lease (pay for the use of a vehicle for a set period of time plus any lease charges).",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/financing_options/understanding_credit/credit_101.html
2315,What is your credit made of?,"There are a few factors that make up someones credit:
Credit Report
A credit report is issued by an independent credit reporting agency and includes personal information; credit information like accounts, dates opened, account numbers, terms, amounts borrowed and payment history; how many creditors have requested your credit report; and public records of tax liens, bankruptcies and court-awarded judgments.
Credit reports are generated by each of the three major credit-reporting bureaus: Equifax, Experian, and TransUnion. What is reflected in your credit report may be used to compute your credit score.
Credit Score
Your credit score, sometimes referred to as a FICO score, can range from 300-850. The higher it is, the better. Good credit scores can make it easier and cheaper to get credit for the things you want. Basically, the scores have become a way to see how an individuals credit compares to hundreds of thousands of other consumers, and are used by financial institutions to decide how likely you are to honor your financial commitments.
Actually, you have more than one credit score. Each of the three bureaus uses a different score for its own purposes, and theyre not all the same for each person. These scores will also fluctuate from time to time, and may differ based on how each bureau calculates scores based on its stated criteria. To keep your credit in good standing its important to be proactive.",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/financing_options/understanding_credit/your_credit.html
2316,Whats considered excessive wear and use?," It probably seems obvious, but damage that is beyond normal wear and use is considered excessive. If it helps to see some examples of whats considered excessive, check out our [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/Toyota_Lease-End_EWU.pdf). We also recommend reviewing your lease agreement as it includes additional excess wear and use information specific to your vehicle. Just a heads-up, though, the examples provided may not include all instances of excessive damage that could subject you to additional charges based on the terms of your lease agreement. ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2317,Can I make repairs to my lease vehicle so I dont incur wear and use charges?," Of course. In fact, we encourage you to schedule a courtesy pre-inspection 1 and to review the [Wear and Use Guidelines](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TFS_Lease-End_Guide_feb2020.pdf) to see whether your vehicle has wear and use that is considered excessive. If repair work is needed and youd like to make repairs prior to turning in the vehicle, your local Toyota dealer is a great option to assist you. Be sure to keep all of your receipts for repairs made and review your insurance policy to see if any items may be covered. If your damages exceeding normal wear and use arent repaired, it can result in charges at lease termination. 2 All charges may be subject to sales tax. 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. 2 If repairs are made to your vehicle, you or the dealer may request an inspection upon turn-in. Under certain circumstances, TFS does not charge its lease customers for excess wear and use damage. See your lease agreement for additional information. ",PDF_ATTACHMENT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2318,What is a courtesy pre-inspection?, A courtesy pre-inspection by your Toyota dealer assesses the condition of your vehicle and provides an estimate of wear and use charges that could be due at leas-end. 1 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2319,How do I schedule a courtesy pre-inspection?, You can contact your originating dealer or any Toyota dealer to determine if they can conduct a courtesy pre-inspection and schedule an appointment. 1 We recommend completing this within 60 days before your vehicle return. 1 Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin. ,DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2320,What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original Equipment",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2321,What should I do after my courtesy pre-inspection?," After your courtesy pre-inspection, you can discuss the inspection report immediately with the dealer in person. You can also access the report via the Document Center on our mobile app or at toyotafinancial.com. You can make repairs before turning in your vehicle-just be sure to keep receipts for your records. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2322,What if I purchased Excess Wear & Use Protection?,"If you purchased Excess Wear & Use Protection, you should be in great shape to avoid most charges, and heres what youre covered for:
Each eligible event valued at $1,000 or less Each eligible missing part or equipment valued at $200 or less Up to $5,000 in excess wear and use charges
If you didnt purchase Excess Wear & Use Protection, well still be here to help. Our biggest recommendation would be to call and schedule a courtesy pre-inspection1. That way you can fix any damage and there wont be surprises at lease-end.
1Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2323,Should I schedule a courtesy pre-inspection?,"If you think you may have excessive wear and use, then scheduling a courtesy pre-inspection1 is a smart idea.
1Courtesy pre-inspection available to lease customers who do not reside in Hawaii or whose leases did not originate in New Hampshire or Wisconsin.
Benefits of a courtesy pre-inspection:
Knowing the condition of your vehicle before the end of your lease allows you to make well-informed decisions Discussing the vehicle condition with your dealer may be beneficial in helping make your lease-end decision Detailed condition reports, itemizing any estimated excess wear and use fees, are available immediately after your inspection. You can discuss the inspection report with the dealer and access it via the Document Center on our mobile app or at toyotafinancial.com",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/wear_and_use.html
2324,What do I need for my courtesy pre-inspection and lease return appointments?,"Vehicle keys
Toolkit and spare tire
Owner's Manual
Original Equipment",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/end_of_lease_options/return_your_vehicle.html
2325,What is credit?,"Say you want to purchase or lease a car, but dont have enough money to pay for it all at once. Enter credit. Credit allows customers to take possession of something, in our case a vehicle, before it is fully paid. A financial institution extends credit for the item, on the expectation that payment will be completed in the future. With credit through Toyota Financial Services, you can either finance (make monthly payments on an amount borrowed to pay for the purchase) or lease (pay for the use of a vehicle for a set period of time plus any lease charges).",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/financing_options/understanding_credit.html
2326,What is a FICO score and how can I find out more about my credit rating?,"Equifax
Experian
TransUnion
Innovis",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_credit/what_is_a_fico_score_and_how_can_i_find_out_more_about_my_credit_rating.html
2327,Im a current college student. Do I need a co-buyer or lessee to finance or lease a Toyota?," If you meet our criteria as a current college student or recent graduate, you can qualify for TFS College Finance and Lease Programs and wont need a co-buyer. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_credit/do_i_need_a_cobuyer_or_lessee_to_finance_or_lease_a_toyota.html
2328,Where can I learn about the Toyota Rewards Visa?," The Toyota Rewards Visa is offered through Comenity Capital Bank. To learn more and apply, visit the Toyota Rewards Visa website . ",LINK_OUT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_credit/where_can_i_learn_about_the_toyota_rewards_visa.html
2329,How can I submit a dispute about incorrect credit information reported to the credit bureaus?," If you believe we reported incorrect or incomplete information about you to a credit bureau, write us at P.O. Box 661009, Dallas, TX, 75265. Identify the information and tell us why you believe it is incorrect or incomplete. If you have a copy of the credit report which shows the disputed information, please include a copy in your correspondence to us. ",DIRECT_TEXT,https://www.toyotafinancial.com/us/en/planning_tools/faq/about_credit/how_can_i_submit_a_dispute_about_incorrect_credit_information_reported_to_the_credit_bureaus.html
